# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416297356;4501440;260022984;98.30;313844;51854532;212368316;77.82
axle;60;1416297416;7431656;257092768;97.19;313912;51892580;209386560;76.72
axle;60;1416297476;7599276;256925148;97.13;313980;52338016;208802108;76.51
axle;60;1416297536;5564740;258959684;97.90;314068;52983552;210223072;77.03
axle;60;1416297596;5427552;259096872;97.95;314148;51960304;211348864;77.44
axle;60;1416297656;5844540;258679884;97.79;314260;51978924;210935148;77.29
axle;60;1416297716;6907492;257616932;97.39;314328;51988580;209785540;76.87
axle;60;1416297776;7098504;257425920;97.32;314384;52006192;209608080;76.80
axle;60;1416297836;7653804;256870620;97.11;314460;52140808;208899052;76.55
axle;60;1416297896;5562392;258962032;97.90;314536;52655928;210505184;77.13
